-0.48,-7.36,D1
-0.48,-6.72,D2
-0.48,-5.44,D3
-0.48,-4.8,D4
-0.48,-2.88,D6
-0.48,-3.52,D5
-0.48,-1.6,D7
-0.48,-0.96,D8
0.48,-7.36,C1
0.48,-6.72,C2
0.48,-5.44,C3
0.48,-4.8,C4
0.48,-3.52,C5
0.48,-1.6,C7
0.48,-0.96,C8
0.48,-2.88,C6
2.4,-7.36,E1
2.4,-6.72,E2
2.4,-5.44,E3
2.4,-4.8,E4
2.4,-2.88,E6
2.4,-3.52,E5
2.4,-1.6,E7
2.4,-0.96,E8
3.36,-7.36,F1
3.36,-6.72,F2
3.36,-5.44,F3
3.36,-4.8,F4
3.36,-2.88,F6
3.36,-3.52,F5
3.36,-1.6,F7
3.36,-0.96,F8
5.28,-7.36,G1
5.28,-6.72,G2
5.28,-5.44,G3
5.28,-4.8,G4
5.28,-2.88,G6
5.28,-3.52,G5
5.28,-1.6,G7
5.28,-0.96,G8
6.24,-7.36,H1
6.24,-6.72,H2
6.24,-5.44,H3
6.24,-4.8,H4
6.24,-2.88,H6
6.24,-3.52,H5
6.24,-1.6,H7
6.24,-0.96,H8
8.16,-7.36,I1
8.16,-6.72,I2
8.16,-5.44,I3
8.16,-4.8,I4
8.16,-2.88,I6
8.16,-3.52,I5
8.16,-1.6,I7
8.16,-0.96,I8
9.12,-7.36,J1
9.12,-6.72,J2
9.12,-5.44,J3
9.12,-4.8,J4
9.12,-2.88,J6
9.12,-3.52,J5
9.12,-1.6,J7
9.12,-0.96,J8
11.04,-7.36,K1
11.04,-6.72,K2
11.04,-5.44,K3
11.04,-4.8,K4
11.04,-2.88,K6
11.04,-3.52,K5
11.04,-1.6,K7
11.04,-0.96,K8
12,-7.36,L1
12,-6.72,L2
12,-5.44,L3
12,-4.8,L4
12,-2.88,L6
12,-3.52,L5
12,-1.6,L7
12,-0.96,L8
13.92,-7.36,M1
13.92,-6.72,M2
13.92,-5.44,M3
13.92,-4.8,M4
13.92,-2.88,M6
13.92,-3.52,M5
13.92,-1.6,M7
13.92,-0.96,M8
14.88,-7.36,N1
14.88,-6.72,N2
14.88,-5.44,N3
14.88,-4.8,N4
14.88,-2.88,N6
14.88,-3.52,N5
14.88,-1.6,N7
14.88,-0.96,N8
16.8,-7.36,O1
16.8,-6.72,O2
16.8,-5.44,O3
16.8,-4.8,O4
16.8,-2.88,O6
16.8,-3.52,O5
16.8,-1.6,O7
16.8,-0.96,O8
17.76,-7.36,P1
17.76,-6.72,P2
17.76,-5.44,P3
17.76,-4.8,P4
17.76,-2.88,P6
17.76,-3.52,P5
17.76,-1.6,P7
17.76,-0.96,P8
